"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",93.22233,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",96.15891,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.8599,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",106.7745,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","ESP","Spain","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.5841,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",39.26012,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",37.0105,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",46.84219,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",54.78254,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",59.32344,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",69.39677,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",81.22813,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",94.14264,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",78.47025,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",63.90602,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",73.62939,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",81.56141,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",87.22713,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",90.65989,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",96.59223,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",106.0573,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",116.2723,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",125.754,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",130.6366,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","LTU","Lithuania","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",137.2771,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",48.36291,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",51.81205,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",63.05923,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",80.52987,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",85.92852,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",94.57635,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",115.1962,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",140.8398,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",146.4634,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",75.80605,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",69.85754,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",85.55361,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",79.58011,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",88.67783,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",103.5991,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",90.57735,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",99.12522,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",112.6468,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",121.6946,,
"PRCNTO01","Production of total construction sa, Index","LTU","Lithuania","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",119.1952,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",86.71055,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",83.52775,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",78.85352,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",78.86185,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",83.32778,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",85.11915,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",88.97684,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",96.75887,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",95.85902,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",79.84502,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",91.04316,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",98.34194,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",97.16714,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",95.4341,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.87535,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.5414,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",108.8402,"P","Provisional value"
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",114.4309,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",115.4141,,
"PRMNVG01","Production of total manufactured investment goods sa, Index","NLD","Netherlands","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.1905,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","EST","Estonia","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",43.50471,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","EST","Estonia","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",48.03766,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","EST","Estonia","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",54.13715,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","EST","Estonia","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",61.6032,,
"PRMNIG01","Production of total manufactured intermediate goods sa, Index","EST","Estonia","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",70.29414,,
